# v2 corrected-synth union dump
# design	verilog_axi
# n_union	151  n_kept	151  n_dropped	0
# betas	input=+0.226 output=-0.323 internal=-0.050 both=-0.047 (derived)
rank_synth_corr	rank_route	rank_delta	slack_synth_ns	beta_ns	slack_synth_corr_ns	slack_route_ns	port_cat	end_pin	async_endpoint	kept	in_synth_topk	in_route_topk	start	end	start_full	end_full
39	49	10	-0.1888	-0.0500	-0.2388	-0.1239	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.state_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.state_reg[0]$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
40	101	61	-0.1876	-0.0500	-0.2376	-0.0617	internal	D	N	Y	Y	N	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_select_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[5].addr_inst.m_select_reg[0]$_DFF_P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
41	35	-6	-0.1864	-0.0500	-0.2364	-0.1477	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
42	45	3	-0.4606	0.2260	-0.2346	-0.1300	input_only	D	N	Y	Y	Y	sI_axi_arid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	s05_axi_arid[5]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
43	65	22	-0.4532	0.2260	-0.2272	-0.0952	input_only	D	N	Y	Y	Y	sI_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	s05_axi_arvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
44	56	12	-0.4499	0.2260	-0.2239	-0.1137	input_only	D	N	Y	Y	Y	sI_axi_awvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	s00_axi_awvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
45	31	-14	-0.4490	0.2260	-0.2230	-0.1553	input_only	D	N	Y	Y	Y	mI_axi_bid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	m03_axi_bid[0]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[4].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
46	41	-5	-0.1681	-0.0500	-0.2181	-0.1381	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[4].addr_inst.thread_count_reg[0][2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[4].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
47	81	34	-0.4434	0.2260	-0.2174	-0.0753	input_only	D	N	Y	Y	Y	sI_axi_awid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	s00_axi_awid[3]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
48	62	14	-0.1615	-0.0500	-0.2115	-0.0994	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_axi_avalid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].addr_inst.m_axi_avalid_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[1].a_arb_inst.mask_reg[5]$_SDFFE_PP0P_/D
