design,stage,p,n_seeds,n_pairs,top_k,min_list_len,max_list_len,mean_rbo,std_rbo,min_rbo,max_rbo,mean_dedup_drops,max_dedup_drops
sha512,1_synth,0.6,8,28,100,100,100,0.8628460742203646,0.17461534426849273,0.5348211861468083,0.9942091498144885,14.125,18
sha512,1_synth,0.9,8,28,100,100,100,0.8832737473323521,0.04590999906123892,0.7687381342906655,0.9510126324379515,14.125,18
sha512,1_synth,0.96,8,28,100,100,100,0.8901964270916303,0.02597163773228244,0.8308437231452297,0.9428038975508252,14.125,18
sha512,6_final,0.6,8,28,100,100,100,0.7421177451749795,0.21918775311254413,0.4420849004480649,0.9955016800734374,26.875,28
sha512,6_final,0.9,8,28,100,100,100,0.7744433427694607,0.09620941254759402,0.608814192067028,0.9276200389166389,26.875,28
sha512,6_final,0.96,8,28,100,100,100,0.8315831974665163,0.051970859501434714,0.7309206183771902,0.9146199517760338,26.875,28
systolic_tpu,1_synth,0.6,8,28,100,73,81,0.7508283376060474,0.19988547087618838,0.5168551243345169,0.9984506020450474,922.875,927
systolic_tpu,1_synth,0.9,8,28,100,73,81,0.8762307072792636,0.04980248452477527,0.7861671271652706,0.9683506760135672,922.875,927
systolic_tpu,1_synth,0.96,8,28,100,73,81,0.9083764741528444,0.02143559716180896,0.8650058478850106,0.954931190227061,922.875,927
systolic_tpu,6_final,0.6,8,28,100,72,77,0.7421243125101916,0.20781377300771364,0.5209465734967705,0.999387518775821,925.5,928
systolic_tpu,6_final,0.9,8,28,100,72,77,0.8712375354611911,0.05966487756055773,0.7632986343812819,0.9783597526767054,925.5,928
systolic_tpu,6_final,0.96,8,28,100,72,77,0.8942993490976404,0.033591506189150376,0.8199597368234413,0.9586721759186642,925.5,928
uberddr3,1_synth,0.6,8,28,100,100,100,0.8769032674995125,0.0957642491868399,0.682955169704546,0.9677841572378594,13.25,16
uberddr3,1_synth,0.9,8,28,100,100,100,0.7812861057261203,0.07115191739005125,0.6285796618229814,0.8757629190561803,13.25,16
uberddr3,1_synth,0.96,8,28,100,100,100,0.7545435395978564,0.04324242631539699,0.6488999847228868,0.8270017707292707,13.25,16
uberddr3,6_final,0.6,8,28,100,100,100,0.5673104974962536,0.3056278548529912,0.05240848529195278,0.9620694227295516,21.875,29
uberddr3,6_final,0.9,8,28,100,100,100,0.67506698609173,0.1219106705475379,0.44701014009588114,0.8524763415251565,21.875,29
uberddr3,6_final,0.96,8,28,100,100,100,0.7238164313046607,0.0587026299706075,0.598877534417329,0.8103133570925188,21.875,29
verilog_axi,1_synth,0.6,8,28,100,100,100,0.7187882580284544,0.20400540782308052,0.4196497574223006,0.9924672445597656,381.375,405
verilog_axi,1_synth,0.9,8,28,100,100,100,0.8314356026749311,0.059769293897416,0.7148223683127262,0.9202874657857488,381.375,405
verilog_axi,1_synth,0.96,8,28,100,100,100,0.8676615614507373,0.030702554205539037,0.8108913507490618,0.9170970997472593,381.375,405
verilog_axi,6_final,0.6,8,28,100,100,100,0.5732524490453798,0.2267758927214098,0.2247481164306985,0.982005092734263,179.125,202
verilog_axi,6_final,0.9,8,28,100,100,100,0.7569473471029331,0.06972919320693814,0.6252079877653921,0.8909915310684448,179.125,202
verilog_axi,6_final,0.96,8,28,100,100,100,0.802294565047,0.033269349771855146,0.734805618792566,0.8606721530110524,179.125,202
viterbi,1_synth,0.6,8,28,100,59,64,0.9172827284517687,0.06269875368355228,0.8450193767426992,0.9997609019984199,938.625,941
viterbi,1_synth,0.9,8,28,100,59,64,0.926806086448165,0.02447438295543691,0.8865723835029391,0.9762248887824769,938.625,941
viterbi,1_synth,0.96,8,28,100,59,64,0.9260556469230812,0.0114470553977585,0.9011238562584285,0.9528448318882309,938.625,941
viterbi,6_final,0.6,8,28,100,68,72,0.7729101005968271,0.11636398767819946,0.6132991788513067,0.9783140190565482,929.625,932
viterbi,6_final,0.9,8,28,100,68,72,0.6913783858417679,0.11986915211759812,0.46104596203794157,0.8348151174202516,929.625,932
viterbi,6_final,0.96,8,28,100,68,72,0.7625483658566986,0.07177011857007336,0.6148113759086699,0.8452779897500847,929.625,932
wb_dma,1_synth,0.6,8,28,100,100,100,0.509511292112376,0.28466799382109587,0.22165204144590755,0.9854304320437013,374.0,419
wb_dma,1_synth,0.9,8,28,100,100,100,0.7211010648600323,0.11789228980269294,0.5086790161707699,0.9248331045837263,374.0,419
wb_dma,1_synth,0.96,8,28,100,100,100,0.8171841576401141,0.06762753172765038,0.6758995710121609,0.9268598321353266,374.0,419
wb_dma,6_final,0.6,8,28,100,100,100,0.8252435327647597,0.06440340950565714,0.7292861532218784,0.9512740895807211,362.5,400
wb_dma,6_final,0.9,8,28,100,100,100,0.8164931131867313,0.03359715223449767,0.7226260616027285,0.8747226111531137,362.5,400
wb_dma,6_final,0.96,8,28,100,100,100,0.8549746701980185,0.022563937576669836,0.8014450190248006,0.8868360405887834,362.5,400
